Parameter_values,Runtime,Data_length
0.004,1.2406604290008545,71534.0
0.008,0.23637080192565918,4110.0
0.016,0.033933401107788086,530.0
0.032,0.012964010238647461,64.0
0.064,0.008946418762207031,10.0
